player,balls_faced,total_runs,fours,sixes,dismissals,pp_runs,death_runs,batting_avg,strike_rate,boundary_pct,balls_bowled,wickets,economy,bowl_avg,strike_rate_bowl,dot_pct,pp_wickets,death_wickets,stumpings,role,ewr_wpa_bat,rwpa_powerplay_bat,rwpa_middle_bat,rwpa_death_bat,ewr_wpa_bow,rwpa_powerplay_bow,rwpa_middle_bow,rwpa_death_bow,fran_runs,fran_balls_faced,fran_sr,fran_wickets,fran_balls_bowled,fran_economy,combined_ewr_wpa,recency_bonus,final_score,in_recent_squad
C Nanda,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,6.959999999999999,29.0,25.0,0.26,0.0,0.0,0.0,Bowler,-0.00602094794605577,0.0,0.0,-0.18664938632772887,-0.033791349710787025,0.0,-0.06589024637086377,0.011824086833604525,0.0,1.0,0.0,2.0,50.0,6.959999999999999,-0.033791349710787025,0.0,-0.033791349710787025,False
NLTC Perera,324.0,422.0,23.0,26.0,24.0,18.0,267.0,17.583333333333332,130.2469135802469,0.15123456790123457,715.0,37.0,8.651748251748252,27.864864864864863,19.324324324324323,0.3174825174825175,6.0,21.0,0.0,All-rounder,0.06603277332197842,0.09334058636607327,0.0074030678721946075,-0.028596735238328508,-0.1377002284538403,-0.0871668322938047,-0.46071668792057496,0.40440565979744114,4.0,12.0,33.33333333333333,0.0,15.0,10.8,-0.035833727565930944,0.0,-0.035833727565930944,False
VS Yeligati,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,32.0,0.0,11.4375,999.0,999.0,0.1875,0.0,0.0,0.0,Bowler,0.005539441585410108,0.0,0.0,0.08863106536656173,-0.04077918867967165,0.0006650002926639493,-0.07781169279420008,-0.0018629855653276885,2.0,2.0,100.0,0.0,32.0,11.4375,-0.04077918867967165,0.0,-0.04077918867967165,False
R Sanjay Yadav,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,9.857142857142856,999.0,999.0,0.42857142857142855,0.0,0.0,0.0,Bowler,-0.02220215845870353,0.0,0.0,-0.3552345353392565,-0.03839965696972903,-0.018423501364435317,-0.10226113482614164,0.0,0.0,2.0,0.0,0.0,14.0,9.857142857142856,-0.03839965696972903,0.1,-0.042239622666701934,True
MA Khote,22.0,24.0,2.0,1.0,2.0,0.0,18.0,12.0,109.09090909090908,0.13636363636363635,30.0,2.0,10.4,26.0,15.0,0.16666666666666666,0.0,1.0,0.0,Bowler,-0.08008339249264383,0.0,-0.07305990200019187,-0.11622811661878447,-0.04534362065893256,0.0,-0.09908459543825474,0.008397354120389614,24.0,22.0,109.09090909090908,2.0,30.0,10.4,-0.04534362065893256,0.0,-0.04534362065893256,False
D Jansen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,11.357142857142856,53.0,28.0,0.21428571428571427,0.0,1.0,0.0,Bowler,0.0,0.0,0.0,0.0,-0.04399994026946808,-0.044767448244589184,-0.056184643340159296,0.009809358169421746,0.0,0.0,0.0,1.0,28.0,11.357142857142856,-0.04399994026946808,0.1,-0.04839993429641489,True
RW Price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,11.0,999.0,999.0,0.05555555555555555,0.0,0.0,0.0,Bowler,0.0,0.0,0.0,0.0,-0.05324321179521213,-0.08119203047345648,-0.0607898676471092,0.0,0.0,0.0,0.0,0.0,18.0,11.0,-0.05324321179521213,0.0,-0.05324321179521213,False
CM Gautam,158.0,169.0,17.0,6.0,9.0,68.0,55.0,18.77777777777778,106.9620253164557,0.14556962025316456,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,4.0,Wicketkeeper,-0.10899235572271859,0.13096932471814438,-0.07700216517394784,-0.18365426635350726,0.0,0.0,0.0,0.0,121.0,116.0,104.3103448275862,0.0,0.0,0.0,-0.054496177861359296,0.0,-0.054496177861359296,False
DJ Bravo,1247.0,1560.0,120.0,66.0,69.0,123.0,909.0,22.608695652173914,125.10024057738573,0.1491579791499599,3296.0,207.0,8.075242718446601,21.429951690821255,15.922705314009661,0.30279126213592233,13.0,130.0,0.0,All-rounder,-1.3960026675666353,0.2540282118990341,-2.76988269515099,1.0862671484623863,1.2686945650146981,0.31115981941641147,-0.9095040871906055,1.8785864168151183,457.0,401.0,113.9650872817955,30.0,554.0,7.96028880866426,-0.06365405127596857,0.0,-0.06365405127596857,False
PJ Sangwan,47.0,26.0,1.0,0.0,8.0,0.0,22.0,3.25,55.319148936170215,0.02127659574468085,905.0,44.0,8.4,28.795454545454547,20.568181818181817,0.3524861878453039,16.0,9.0,0.0,Bowler,-0.41667084051273745,0.0,-0.03768070921042674,-0.6449502422678878,-0.06377652656773077,-0.19273733619480726,0.29631039763142714,-0.16946372700659593,0.0,5.0,0.0,0.0,12.0,10.0,-0.06377652656773077,0.0,-0.06377652656773077,False
